time,x,y,heading,target_x,target_y,target_idx
1752321015.7559297,906.9166870117188,514.0626831054688,-1.4453041134340312,34.5,33.5,0
1752321015.9396007,906.8508911132812,514.1258544921875,-1.4430165738949692,34.5,33.5,0
1752321016.1107697,906.8624877929688,514.0472412109375,-1.4441005426926323,34.5,33.5,0
1752321016.2454855,906.805419921875,514.1460571289062,-1.4435362135636332,34.5,33.5,0
1752321016.4619725,906.9016723632812,514.1343383789062,-1.4418577995930646,34.5,33.5,0
1752321016.6589985,906.8709716796875,514.046142578125,-1.442987786209162,34.5,33.5,0
1752321016.8615477,906.8228759765625,514.0525512695312,-1.4432330638080366,34.5,33.5,0
1752321017.0351262,906.8140258789062,514.210693359375,-1.4387525057980695,34.5,33.5,0
1752321017.1936848,906.7651977539062,514.1593627929688,-1.4394193371106112,34.5,33.5,0
1752321017.37871,906.8385620117188,514.1197509765625,-1.4441824418769382,34.5,33.5,0
1752321017.583698,906.8262939453125,514.1104125976562,-1.4421845132867466,34.5,33.5,0
1752321017.782295,906.8583374023438,514.1045532226562,-1.4416817579194074,34.5,33.5,0
1752321017.9959319,906.8331298828125,514.0928344726562,-1.4431879330109079,34.5,33.5,0
1752321018.1625822,906.867919921875,514.0418090820312,-1.4454203309129148,34.5,33.5,0
1752321018.3357153,906.7147216796875,514.1849975585938,-1.440117641574321,34.5,33.5,0
1752321018.5440543,906.7847900390625,514.0842895507812,-1.4435839667017196,34.5,33.5,0
1752321018.8513618,906.839599609375,514.154296875,-1.4404605729426114,34.5,33.5,0
1752321019.0590575,906.90234375,514.08642578125,-1.4435926235812866,34.5,33.5,0
1752321019.3028862,906.8394165039062,514.1554565429688,-1.4417818576355286,34.5,33.5,0
1752321019.5363784,906.8179931640625,514.1117553710938,-1.443004068727774,34.5,33.5,0
1752321019.7179666,906.8339233398438,514.1907348632812,-1.4412457373711376,34.5,33.5,0
1752321019.9573786,906.8447265625,514.1326293945312,-1.4423636615208564,34.5,33.5,0
1752321020.2363145,906.760009765625,514.1237182617188,-1.4413883450034743,34.5,33.5,0
1752321020.38785,906.8358154296875,514.2001342773438,-1.439401395652085,34.5,33.5,0
1752321020.6255255,906.7391967773438,514.1808471679688,-1.4405288946665493,34.5,33.5,0
1752321020.78313,906.822021484375,514.1260986328125,-1.4402394165894865,34.5,33.5,0
1752321020.9352167,906.7937622070312,514.1727905273438,-1.440122344144743,34.5,33.5,0
1752321021.107174,906.7764892578125,514.1238403320312,-1.4416083202996945,34.5,33.5,0
1752321021.4268737,906.8406982421875,514.1146850585938,-1.442199451518323,34.5,33.5,0
1752321021.6078975,906.8851928710938,514.1045532226562,-1.4432484246925776,34.5,33.5,0
1752321021.8336914,906.8222045898438,514.1077270507812,-1.4419938819432097,34.5,33.5,0
1752321021.9993615,906.7847290039062,514.1497802734375,-1.440002755407342,34.5,33.5,0
1752321022.205697,906.8413696289062,514.123291015625,-1.4404240291644905,34.5,33.5,0
1752321022.3670928,906.744384765625,514.1221313476562,-1.4438301860259644,34.5,33.5,0
1752321022.5766594,906.8568725585938,514.16162109375,-1.4429156432409755,34.5,33.5,0
1752321022.7291594,906.8272094726562,514.1116943359375,-1.4422683649685726,34.5,33.5,0
1752321022.8976047,906.7640380859375,514.1817626953125,-1.4406053529219869,34.5,33.5,0
1752321023.0617535,906.8477783203125,514.1296997070312,-1.4417695074727983,34.5,33.5,0
1752321023.213258,906.9312744140625,514.0946044921875,-1.4422959083358777,34.5,33.5,0
1752321023.423377,906.7947387695312,514.1315307617188,-1.442859089179616,34.5,33.5,0
1752321023.5938752,906.9722290039062,514.0537719726562,-1.4440089562084415,34.5,33.5,0
1752321023.8861487,906.7808837890625,514.2002563476562,-1.4418784215038825,34.5,33.5,0
1752321024.0870323,906.7847900390625,514.2100830078125,-1.4435113489779074,34.5,33.5,0
1752321024.3601046,906.80810546875,514.1887817382812,-1.4410712730972208,34.5,33.5,0
1752321024.5523162,906.8248901367188,514.1452026367188,-1.4427201144917776,34.5,33.5,0
1752321024.75465,906.8101806640625,514.0411376953125,-1.4441837961156916,34.5,33.5,0
1752321024.9940696,906.859619140625,514.145263671875,-1.4404936244493123,34.5,33.5,0
1752321025.2659261,906.87939453125,514.0951538085938,-1.4411250159402198,34.5,33.5,0
1752321025.4251523,906.9489135742188,514.102783203125,-1.4441023552244796,34.5,33.5,0
1752321025.6500993,906.88916015625,514.1507568359375,-1.4413272228187026,34.5,33.5,0
1752321025.803083,906.8334350585938,514.1631469726562,-1.441558921015607,34.5,33.5,0
1752321025.985285,906.8450317382812,514.076904296875,-1.439712673064769,34.5,33.5,0
1752321026.2083893,906.8789672851562,514.140625,-1.4413633185826833,34.5,33.5,0
1752321026.4071748,906.8734741210938,514.1636962890625,-1.4428150591390465,34.5,33.5,0
1752321026.6283705,906.869140625,514.1039428710938,-1.4431591913881394,34.5,33.5,0
1752321026.843632,906.817626953125,514.1167602539062,-1.4432861109611845,34.5,33.5,0
1752321027.107512,906.8433837890625,514.1024169921875,-1.4431415751974452,34.5,33.5,0
1752321027.314437,906.8853149414062,514.1804809570312,-1.4419318021275558,34.5,33.5,0
1752321027.5014915,906.8218383789062,514.1356201171875,-1.4433281736117036,34.5,33.5,0
1752321027.6573408,906.7263793945312,514.2124633789062,-1.4427943285542935,34.5,33.5,0
1752321027.955668,907.15966796875,514.1986694335938,-1.4520135035737955,34.5,33.5,0
1752321028.121257,906.994384765625,514.19140625,-1.437597828876811,34.5,33.5,0
1752321028.2761977,907.0217895507812,514.250732421875,-1.4387358811934658,34.5,33.5,0
1752321028.4394271,906.8032836914062,514.271484375,-1.4388725000256986,34.5,33.5,0
1752321028.692191,906.9361572265625,514.2312622070312,-1.4380283086580012,34.5,33.5,0
1752321028.9013228,906.9647827148438,514.2467041015625,-1.438470392790003,34.5,33.5,0
1752321029.0815303,906.9819946289062,514.1989135742188,-1.441030102018118,34.5,33.5,0
1752321029.23373,906.9063720703125,514.237060546875,-1.4384646729127235,34.5,33.5,0
1752321029.4748082,906.7972412109375,514.1383056640625,-1.4443153284174335,34.5,33.5,0
1752321029.643259,906.6864013671875,514.2021484375,-1.4414380423883137,34.5,33.5,0
1752321029.8332946,906.818603515625,514.0928344726562,-1.4417319664127435,34.5,33.5,0
1752321030.0267978,906.8084716796875,514.09326171875,-1.443286350173751,34.5,33.5,0
1752321030.1765506,906.7574462890625,514.1207275390625,-1.4446515374743856,34.5,33.5,0
1752321030.3847513,906.9212646484375,514.093017578125,-1.443393166202145,34.5,33.5,0
